WDC  ME27 ME28 ME12 ME57  
Threshhold: 8 
052 080403 7 1661.100 0.24407 
052 080403 7 1678.075 0.18361 
052 080403 7 1722.250 0.21948 
052 080403 7 2139.025 0.16614 
052 080403 8 36.800 0.12491 
052 080403 9 1886.375 0.17424 
052 080403 9 1938.350 0.17350 
052 080403 9 1947.550 0.16815 
052 080403 9 1952.200 0.28590 
052 080403 9 2188.675 0.23295 
052 080403 9 2209.925 0.17946 
052 080403 9 2214.850 0.22074 
052 080403 9 2282.525 0.23085 
052 080403 9 2435.175 0.26100 
052 080403 9 2679.925 0.26671 
052 080403 9 2971.550 0.15031 
052 080403 9 2977.175 0.19063 
052 080403 9 3000.875 0.28214 
052 080403 9 3012.375 0.23913 
052 080403 9 3060.000 0.55832 
052 080403 9 3064.550 0.18566 
052 080403 9 3070.800 0.17231 
052 080403 9 3233.950 0.19135 
052 080403 9 3240.375 0.15503 
052 080403 9 3271.800 0.16849 
052 080403 9 3274.050 0.23262 
052 080403 9 3286.825 0.31208 
052 080403 9 3289.975 0.22202 
052 080403 9 3294.625 0.22228 
052 080403 9 3316.325 0.29414 
052 080403 9 3317.850 0.23193 
052 080403 9 3336.900 0.21952 
052 080403 9 3368.750 0.23561 
052 080403 9 3424.850 0.23689 
052 080403 9 3467.375 0.21310 
052 080403 9 3525.125 0.25924 
052 080403 9 3533.250 0.20698 
052 080403 9 3556.125 0.18674 
052 080403 9 3574.425 0.17242 
052 080403 10 230.125 0.19207 
052 080403 10 238.000 0.12712 
052 080403 10 249.100 0.14391 
052 080403 10 268.975 0.12560 
052 080403 10 272.200 0.24324 
052 080403 10 274.200 0.17174 
052 080403 10 275.775 0.19315 
052 080403 10 280.150 0.25448 
052 080403 10 286.175 0.26930 
052 080403 10 306.475 0.12825 
052 080403 10 332.225 0.15161 
052 080403 10 335.075 0.26163 
052 080403 10 340.400 0.30442 
052 080403 10 443.375 0.31121 
052 080403 10 538.900 0.12639 
052 080403 10 542.500 0.30002 
052 080403 10 553.025 0.26655 
052 080403 10 583.275 0.19684 
052 080403 10 593.000 0.21069 
052 080403 10 677.375 0.20183 
052 080403 10 688.875 0.18576 
052 080403 10 730.200 0.22268 
052 080403 10 756.700 0.14992 
052 080403 10 759.375 0.15137 
052 080403 10 768.150 0.29567 
052 080403 10 771.050 0.19325 
052 080403 10 773.725 0.20517 
052 080403 10 866.225 0.13071 
052 080403 10 881.425 0.16186 
052 080403 10 896.800 0.17176 
052 080403 10 983.475 0.25610 
052 080403 10 1014.925 0.17030 
052 080403 10 1042.300 0.21444 
052 080403 10 1234.675 0.16549 
052 080403 10 1488.400 0.13791 
052 080403 10 1500.550 0.14548 
052 080403 10 1503.975 0.21066 
052 080403 10 1505.350 0.20440 
052 080403 10 1545.125 0.21017 
052 080403 18 3218.825 0.13072 
052 080408 4 3229.575 0.13944 
052 080408 10 448.125 0.23114 
052 080408 10 450.050 0.20512 
052 080408 10 828.450 0.14657 
052 080408 10 1492.125 0.31714 
