ME43 ME44 ME45 ME52 ME46  
Threshhold: 8 
013 080301 1 3076.975 0.11409 
013 080301 2 2612.500 0.11032 
013 080301 2 3594.200 0.09865 
013 080301 3 716.225 0.09942 
013 080301 3 1092.200 0.12116 
013 080301 3 2637.800 0.09973 
013 080301 5 681.400 0.11263 
013 080301 5 2346.150 0.11772 
013 080301 10 1922.075 0.10129 
013 080301 10 2919.675 0.10640 
013 080301 10 3448.625 0.11368 
013 080301 13 497.350 0.10593 
013 080301 13 588.000 0.11786 
013 080301 14 633.825 0.13895 
013 080301 19 2393.075 0.10194 
013 080301 19 3247.325 0.11123 
013 080301 21 871.025 0.10327 
013 080301 22 749.325 0.14063 
013 080301 24 2936.150 0.11247 
013 080302 3 3547.050 0.09753 
013 080302 5 3363.525 0.12412 
013 080302 7 1493.125 0.09154 
013 080302 7 3481.100 0.14630 
013 080302 8 3310.400 0.13107 
013 080302 9 2831.325 0.15703 
013 080302 9 2846.500 0.12681 
013 080302 14 2890.550 0.11573 
013 080302 17 457.325 0.09210 
013 080302 17 458.350 0.10780 
013 080302 18 3167.200 0.16337 
013 080302 23 1821.800 0.11340 
013 080302 23 1823.275 0.11125 
013 080303 1 725.475 0.11448 
013 080303 1 2011.975 0.13290 
013 080303 1 3230.000 0.13180 
013 080303 5 767.950 0.09604 
013 080303 6 3411.500 0.10205 
013 080303 7 410.875 0.11138 
013 080303 7 1775.125 0.08995 
013 080303 7 1813.775 0.09315 
013 080303 10 1716.450 0.13251 
013 080303 10 3125.000 0.09177 
013 080303 11 1010.500 0.10655 
013 080303 12 71.950 0.10139 
013 080303 13 3273.925 0.10550 
013 080303 17 741.050 0.12970 
013 080303 17 2134.300 0.10945 
013 080303 17 2147.325 0.10631 
013 080303 17 2404.625 0.11145 
013 080303 18 1334.525 0.09389 
013 080303 18 2178.900 0.09300 
013 080303 20 402.350 0.09154 
013 080303 22 2843.500 0.08922 
013 080303 22 3514.775 0.10313 
013 080303 23 2307.350 0.08896 
013 080303 24 860.725 0.10670 
013 080304 1 2460.525 0.12005 
013 080304 1 2471.875 0.13672 
013 080304 5 893.950 0.10953 
013 080304 6 1926.675 0.13494 
013 080304 6 1929.550 0.11838 
013 080304 6 2425.725 0.09265 
013 080304 6 2707.350 0.12016 
013 080304 6 2741.200 0.13768 
013 080304 6 2743.700 0.11600 
013 080304 7 317.300 0.12244 
013 080304 7 319.800 0.09722 
013 080304 8 971.325 0.12759 
013 080304 8 1592.475 0.11469 
013 080304 8 1901.075 0.12475 
013 080304 10 975.025 0.12259 
013 080304 10 2689.125 0.11668 
013 080304 11 1970.725 0.10029 
013 080304 13 696.425 0.09431 
013 080304 14 896.050 0.09557 
013 080304 14 2880.075 0.15320 
013 080304 15 2601.975 0.09291 
013 080304 18 492.150 0.09889 
013 080304 18 2353.500 0.14001 
013 080304 19 304.100 0.16603 
013 080304 20 119.375 0.15208 
013 080304 20 2303.525 0.10788 
013 080304 22 506.375 0.10957 
013 080304 22 931.875 0.10728 
013 080305 1 1355.250 0.08960 
013 080305 2 2941.650 0.10856 
013 080305 3 2963.900 0.10898 
013 080305 4 653.575 0.11091 
013 080305 5 3072.250 0.08775 
013 080305 7 3115.950 0.10227 
013 080305 7 3164.325 0.12480 
013 080305 9 1605.175 0.09049 
013 080305 9 3004.125 0.28095 
013 080305 9 3064.175 0.19402 
013 080305 11 2712.100 0.09932 
013 080305 11 3477.325 0.09331 
013 080305 15 2478.575 0.10609 
013 080305 17 3281.075 0.13214 
013 080305 18 2547.775 0.12518 
013 080305 18 2848.250 0.08796 
013 080305 20 1635.900 0.10631 
013 080305 21 1675.050 0.25331 
013 080305 22 2611.250 0.10464 
013 080305 24 858.825 0.09061 
013 080305 24 1550.850 0.09655 
013 080305 24 2536.000 0.09075 
013 080306 1 2178.200 0.09273 
013 080306 2 1445.450 0.09484 
013 080306 4 1927.275 0.11777 
