Stat	Net	Cha	Lo	Rate	Start time	End time	Lat	Lon	Elev	Depth	Dip	Azimuth
ARC	BK	BHE	--	20.0000000	1992/05/28,19:48:00	2001/08/02,00:36:00	40.87772	-124.07738	30.1	0.0	0.0	90.0
ARC	BK	BHN	--	20.0000000	1992/05/28,19:48:00	2001/08/02,00:36:00	40.87772	-124.07738	30.1	0.0	0.0	0.0
ARC	BK	BHZ	--	20.0000000	1992/05/28,19:48:00	2001/08/02,00:36:00	40.87772	-124.07738	30.1	0.0	-90.0	0.0
ARC	BK	BLE	--	20.0000000	1992/05/28,19:48:00	2001/08/02,00:36:00	40.87772	-124.07738	30.1	0.0	0.0	90.0
ARC	BK	BLN	--	20.0000000	1992/05/28,19:48:00	2001/08/02,00:36:00	40.87772	-124.07738	30.1	0.0	0.0	0.0
ARC	BK	BLZ	--	20.0000000	1992/05/28,19:48:00	2001/08/02,00:36:00	40.87772	-124.07738	30.1	0.0	-90.0	0.0
ARC	BK	HHE	--	80.0000000	1992/05/28,19:48:00	2001/08/02,00:36:00	40.87772	-124.07738	30.1	0.0	0.0	90.0
ARC	BK	HHN	--	80.0000000	1992/05/28,19:48:00	2001/08/02,00:36:00	40.87772	-124.07738	30.1	0.0	0.0	0.0
ARC	BK	HHZ	--	80.0000000	1992/05/28,19:48:00	2001/08/02,00:36:00	40.87772	-124.07738	30.1	0.0	-90.0	0.0
ARC	BK	HLE	--	80.0000000	1992/05/28,19:48:00	2001/08/02,00:36:00	40.87772	-124.07738	30.1	0.0	0.0	90.0
ARC	BK	HLN	--	80.0000000	1992/05/28,19:48:00	2001/08/02,00:36:00	40.87772	-124.07738	30.1	0.0	0.0	0.0
ARC	BK	HLZ	--	80.0000000	1992/05/28,19:48:00	2001/08/02,00:36:00	40.87772	-124.07738	30.1	0.0	-90.0	0.0
ARC	BK	LEP	--	1.0000000	2001/06/01,00:00:00	2001/08/02,00:36:00	40.87772	-124.07738	30.1	0.0	0.0	0.0
ARC	BK	LHE	--	1.0000000	1992/05/28,19:48:00	2001/08/02,00:36:00	40.87772	-124.07738	30.1	0.0	0.0	90.0
ARC	BK	LHN	--	1.0000000	1992/05/28,19:48:00	2001/08/02,00:36:00	40.87772	-124.07738	30.1	0.0	0.0	0.0
ARC	BK	LHZ	--	1.0000000	1992/05/28,19:48:00	2001/08/02,00:36:00	40.87772	-124.07738	30.1	0.0	-90.0	0.0
ARC	BK	LLE	--	1.0000000	1992/05/28,19:48:00	2001/08/02,00:36:00	40.87772	-124.07738	30.1	0.0	0.0	90.0
ARC	BK	LLN	--	1.0000000	1992/05/28,19:48:00	2001/08/02,00:36:00	40.87772	-124.07738	30.1	0.0	0.0	0.0
