Stat	Net	Cha	Lo	Start time	End time	Lat	Lon	Elev
ME01	XQ	BHE	01	2007/07/24,00:00:00	2009/12/31,00:00:00	41.7752	-123.403397	337.0
ME01	XQ	BHN	01	2007/07/24,00:00:00	2009/12/31,00:00:00	41.7752	-123.403397	337.0
ME01	XQ	BHZ	01	2007/07/24,00:00:00	2009/12/31,00:00:00	41.7752	-123.403397	337.0
ME02	XQ	BHE	01	2007/07/22,00:00:00	2009/12/31,00:00:00	41.6898	-122.337196	951.0
ME02	XQ	BHN	01	2007/07/22,00:00:00	2009/12/31,00:00:00	41.6898	-122.337196	951.0
ME02	XQ	BHZ	01	2007/07/22,00:00:00	2009/12/31,00:00:00	41.6898	-122.337196	951.0
ME03	XQ	BHE	01	2007/09/21,00:00:00	2009/12/31,00:00:00	41.702	-123.880997	283.0
ME03	XQ	BHN	01	2007/09/21,00:00:00	2009/12/31,00:00:00	41.702	-123.880997	283.0
ME03	XQ	BHZ	01	2007/09/21,00:00:00	2009/12/31,00:00:00	41.702	-123.880997	283.0
ME04	XQ	BHE	01	2007/07/23,00:00:00	2009/12/31,00:00:00	41.355	-123.514	431.0
ME04	XQ	BHN	01	2007/07/23,00:00:00	2009/12/31,00:00:00	41.355	-123.514	431.0
ME04	XQ	BHZ	01	2007/07/23,00:00:00	2009/12/31,00:00:00	41.355	-123.514	431.0
ME05	XQ	BHE	01	2007/07/22,00:00:00	2009/12/31,00:00:00	41.526001	-122.052002	1601.0
ME05	XQ	BHN	01	2007/07/22,00:00:00	2009/12/31,00:00:00	41.526001	-122.052002	1601.0
ME05	XQ	BHZ	01	2007/07/22,00:00:00	2009/12/31,00:00:00	41.526001	-122.052002	1601.0
ME06	XQ	BHE	01	2007/07/22,00:00:00	2009/12/31,00:00:00	41.341999	-121.695	1332.0
ME06	XQ	BHN	01	2007/07/22,00:00:00	2009/12/31,00:00:00	41.341999	-121.695	1332.0
ME06	XQ	BHZ	01	2007/07/22,00:00:00	2009/12/31,00:00:00	41.341999	-121.695	1332.0
ME07	XQ	BHE	01	2007/07/30,00:00:00	2009/12/31,00:00:00	41.167999	-123.912003	681.0
ME07	XQ	BHN	01	2007/07/30,00:00:00	2009/12/31,00:00:00	41.167999	-123.912003	681.0
ME07	XQ	BHZ	01	2007/07/30,00:00:00	2009/12/31,00:00:00	41.167999	-123.912003	681.0
ME08	XQ	BHE	01	2007/07/21,00:00:00	2009/12/31,00:00:00	40.222	-123.305	835.0
ME08	XQ	BHN	01	2007/07/21,00:00:00	2009/12/31,00:00:00	40.222	-123.305	835.0
ME08	XQ	BHZ	01	2007/07/21,00:00:00	2009/12/31,00:00:00	40.222	-123.305	835.0
ME09	XQ	BHE	01	2007/07/21,00:00:00	2009/12/31,00:00:00	41.085999	-122.725998	867.0
ME09	XQ	BHN	01	2007/07/21,00:00:00	2009/12/31,00:00:00	41.085999	-122.725998	867.0
ME09	XQ	BHZ	01	2007/07/21,00:00:00	2009/12/31,00:00:00	41.085999	-122.725998	867.0
ME10	XQ	BHE	01	2007/10/31,00:00:00	2009/12/31,00:00:00	40.959099	-122.461899	834.0
ME10	XQ	BHN	01	2007/10/31,00:00:00	2009/12/31,00:00:00	40.959099	-122.461899	834.0
ME10	XQ	BHZ	01	2007/10/31,00:00:00	2009/12/31,00:00:00	40.959099	-122.461899	834.0
ME11	XQ	BHE	01	2007/07/21,00:00:00	2009/12/31,00:00:00	41.056	-121.370003	1001.0
ME11	XQ	BHN	01	2007/07/21,00:00:00	2009/12/31,00:00:00	41.056	-121.370003	1001.0
ME11	XQ	BHZ	01	2007/07/21,00:00:00	2009/12/31,00:00:00	41.056	-121.370003	1001.0
ME12	XQ	BHE	01	2007/07/19,00:00:00	2009/12/31,00:00:00	40.104	-122.498001	178.0
ME12	XQ	BHN	01	2007/07/19,00:00:00	2009/12/31,00:00:00	40.104	-122.498001	178.0
ME12	XQ	BHZ	01	2007/07/19,00:00:00	2009/12/31,00:00:00	40.104	-122.498001	178.0
ME13	XQ	BHE	01	2007/07/21,00:00:00	2009/12/31,00:00:00	40.764	-122.917999	760.0
ME13	XQ	BHN	01	2007/07/21,00:00:00	2009/12/31,00:00:00	40.764	-122.917999	760.0
ME13	XQ	BHZ	01	2007/07/21,00:00:00	2009/12/31,00:00:00	40.764	-122.917999	760.0
ME14	XQ	BHE	01	2007/07/24,00:00:00	2009/12/31,00:00:00	41.006001	-121.896004	590.0
ME14	XQ	BHN	01	2007/07/24,00:00:00	2009/12/31,00:00:00	41.006001	-121.896004	590.0
ME14	XQ	BHZ	01	2007/07/24,00:00:00	2009/12/31,00:00:00	41.006001	-121.896004	590.0
ME14A	XQ	BHE	01	2008/09/20,00:00:00	2009/05/16,00:00:00	41.007599	-121.896599	585.0
ME14A	XQ	BHN	01	2008/09/20,00:00:00	2009/05/16,00:00:00	41.007599	-121.896599	585.0
ME14A	XQ	BHZ	01	2008/09/20,00:00:00	2009/05/16,00:00:00	41.007599	-121.896599	585.0
ME15	XQ	BHE	01	2007/07/21,00:00:00	2009/12/31,00:00:00	40.810001	-121.683998	1380.0
ME15	XQ	BHN	01	2007/07/21,00:00:00	2009/12/31,00:00:00	40.810001	-121.683998	1380.0
ME15	XQ	BHZ	01	2007/07/21,00:00:00	2009/12/31,00:00:00	40.810001	-121.683998	1380.0
ME16	XQ	BHE	01	2007/07/20,00:00:00	2009/12/31,00:00:00	40.577	-122.086998	269.0
ME16	XQ	BHN	01	2007/07/20,00:00:00	2009/12/31,00:00:00	40.577	-122.086998	269.0
ME16	XQ	BHZ	01	2007/07/20,00:00:00	2009/12/31,00:00:00	40.577	-122.086998	269.0
ME17	XQ	BHE	01	2007/07/20,00:00:00	2009/12/31,00:00:00	40.535999	-121.722	1244.0
ME17	XQ	BHN	01	2007/07/20,00:00:00	2009/12/31,00:00:00	40.535999	-121.722	1244.0
ME17	XQ	BHZ	01	2007/07/20,00:00:00	2009/12/31,00:00:00	40.535999	-121.722	1244.0
ME18	XQ	BHE	01	2007/07/31,00:00:00	2009/12/31,00:00:00	40.729	-121.022003	1996.0
ME18	XQ	BHN	01	2007/07/31,00:00:00	2009/12/31,00:00:00	40.729	-121.022003	1996.0
ME18	XQ	BHZ	01	2007/07/31,00:00:00	2009/12/31,00:00:00	40.729	-121.022003	1996.0
ME20	XQ	BHE	01	2007/07/20,00:00:00	2009/12/31,00:00:00	40.477001	-120.984001	1709.0
ME20	XQ	BHN	01	2007/07/20,00:00:00	2009/12/31,00:00:00	40.477001	-120.984001	1709.0
ME20	XQ	BHZ	01	2007/07/20,00:00:00	2009/12/31,00:00:00	40.477001	-120.984001	1709.0
ME21	XQ	BHE	01	2008/06/08,00:00:00	2009/12/31,00:00:00	40.348701	-121.237602	1505.0
ME21	XQ	BHN	01	2008/06/08,00:00:00	2009/12/31,00:00:00	40.348701	-121.237602	1505.0
ME21	XQ	BHZ	01	2008/06/08,00:00:00	2009/12/31,00:00:00	40.348701	-121.237602	1505.0
ME22	XQ	BHE	01	2008/06/08,00:00:00	2009/12/31,00:00:00	40.123001	-121.555702	1336.0
ME22	XQ	BHN	01	2008/06/08,00:00:00	2009/12/31,00:00:00	40.123001	-121.555702	1336.0
ME22	XQ	BHZ	01	2008/06/08,00:00:00	2009/12/31,00:00:00	40.123001	-121.555702	1336.0
ME23	XQ	BHE	01	2007/07/22,00:00:00	2009/12/31,00:00:00	40.396	-121.455002	1863.0
ME23	XQ	BHN	01	2007/07/22,00:00:00	2009/12/31,00:00:00	40.396	-121.455002	1863.0
ME23	XQ	BHZ	01	2007/07/22,00:00:00	2009/12/31,00:00:00	40.396	-121.455002	1863.0
ME24	XQ	BHE	01	2007/07/19,00:00:00	2009/12/31,00:00:00	40.359001	-122.046997	206.0
ME24	XQ	BHN	01	2007/07/19,00:00:00	2009/12/31,00:00:00	40.359001	-122.046997	206.0
ME24	XQ	BHZ	01	2007/07/19,00:00:00	2009/12/31,00:00:00	40.359001	-122.046997	206.0
ME25	XQ	BHE	01	2007/07/19,00:00:00	2009/12/31,00:00:00	40.294998	-121.802002	964.0
ME25	XQ	BHN	01	2007/07/19,00:00:00	2009/12/31,00:00:00	40.294998	-121.802002	964.0
ME25	XQ	BHZ	01	2007/07/19,00:00:00	2009/12/31,00:00:00	40.294998	-121.802002	964.0
ME26	XQ	BHE	01	2007/07/18,00:00:00	2009/12/31,00:00:00	40.157001	-122.098999	99.0
ME26	XQ	BHN	01	2007/07/18,00:00:00	2009/12/31,00:00:00	40.157001	-122.098999	99.0
ME26	XQ	BHZ	01	2007/07/18,00:00:00	2009/12/31,00:00:00	40.157001	-122.098999	99.0
ME27	XQ	BHE	01	2007/07/21,00:00:00	2009/12/31,00:00:00	40.452999	-123.154999	771.0
ME27	XQ	BHN	01	2007/07/21,00:00:00	2009/12/31,00:00:00	40.452999	-123.154999	771.0
ME27	XQ	BHZ	01	2007/07/21,00:00:00	2009/12/31,00:00:00	40.452999	-123.154999	771.0
ME28	XQ	BHE	01	2007/07/20,00:00:00	2009/12/31,00:00:00	40.327	-122.471001	222.0
ME28	XQ	BHN	01	2007/07/20,00:00:00	2009/12/31,00:00:00	40.327	-122.471001	222.0
