Stat	Net	Cha	Lo	Rate	Start time	End time	Lat	Lon	Elev	Depth	Dip	Azimuth
AAR	NC	EHZ	--	100.0000000	1984/01/01,00:00:00	1987/05/01,00:00:00	39.27594	-121.02696	911.0	0.0	-90.0	0.0
AAR	NC	EHZ	--	100.0000000	1987/05/01,00:00:00	2006/01/04,19:19:00	39.27594	-121.02696	911.0	0.0	-90.0	0.0
AAR	NC	SHZ	--	20.0000000	1994/11/28,00:00:00	2006/01/04,19:19:00	39.27594	-121.02696	911.0	0.0	-90.0	0.0
AAS	NC	EHZ	--	100.0000000	1984/11/27,18:45:00	1987/05/01,00:00:00	38.43014	-121.10959	31.0	0.0	-90.0	0.0
AAS	NC	EHZ	--	100.0000000	1987/05/01,00:00:00	3000/01/01,00:00:00	38.43014	-121.10959	31.0	0.0	-90.0	0.0
AAS	NC	SHZ	--	20.0000000	1994/11/28,00:00:00	2006/01/24,18:00:00	38.43014	-121.10959	31.0	0.0	-90.0	0.0
ABJ	NC	EHZ	--	100.0000000	1984/01/01,00:00:00	1987/05/01,00:00:00	39.16577	-121.19299	434.0	0.0	-90.0	0.0
ABJ	NC	EHZ	--	100.0000000	1987/05/01,00:00:00	1992/11/10,20:00:00	39.16577	-121.19299	434.0	0.0	-90.0	0.0
ABJ	NC	EHZ	--	100.0000000	1992/11/10,20:00:00	2019/06/26,19:17:00	39.16577	-121.19299	434.0	0.0	-90.0	0.0
ABJ	NC	SHZ	--	20.0000000	1994/11/28,00:00:00	2006/01/24,18:00:00	39.16577	-121.19299	434.0	0.0	-90.0	0.0
ABR	NC	EHZ	--	100.0000000	1984/01/01,00:00:00	1987/05/01,00:00:00	39.13813	-121.48817	-1.0	0.0	-90.0	0.0
ABR	NC	EHZ	--	100.0000000	1987/05/01,00:00:00	1997/08/04,21:02:00	39.13813	-121.48817	-1.0	0.0	-90.0	0.0
ABR	NC	SHZ	--	20.0000000	1994/11/28,00:00:00	1997/08/04,21:02:00	39.13813	-121.48817	-1.0	0.0	-90.0	0.0
ADW	NC	EHZ	--	100.0000000	1984/01/01,00:00:00	1987/05/01,00:00:00	38.43896	-120.84938	228.0	0.0	-90.0	0.0
ADW	NC	EHZ	--	100.0000000	1987/05/01,00:00:00	2006/04/20,01:08:00	38.43896	-120.84938	228.0	0.0	-90.0	0.0
ADW	NC	SHZ	--	20.0000000	1994/11/28,00:00:00	2006/04/20,01:08:00	38.43896	-120.84938	228.0	0.0	-90.0	0.0
AFD	NC	EHZ	--	100.0000000	1984/01/01,00:00:00	1984/04/23,21:00:00	38.94596	-120.96897	505.0	0.0	-90.0	0.0
AFD	NC	EHZ	--	100.0000000	1984/04/23,21:00:00	1986/03/20,17:30:00	38.94596	-120.96897	505.0	0.0	-90.0	0.0
AFD	NC	EHZ	--	100.0000000	1986/03/20,17:30:00	1986/12/13,22:20:00	38.94596	-120.96897	505.0	0.0	-90.0	0.0
AFD	NC	EHZ	--	100.0000000	1986/12/13,22:20:00	1987/05/01,00:00:00	38.94596	-120.96897	505.0	0.0	-90.0	0.0
AFD	NC	EHZ	--	100.0000000	1987/05/01,00:00:00	2007/05/22,20:40:00	38.94596	-120.96897	505.0	0.0	-90.0	0.0
AFD	NC	HHE	--	100.0000000	2008/06/05,16:29:00	2010/08/11,19:30:00	38.94596	-120.96897	505.0	0.0	0.0	0.0
AFD	NC	HHE	--	100.0000000	2010/08/11,19:30:00	2019/04/09,21:00:00	38.94596	-120.96897	505.0	0.0	0.0	90.0
AFD	NC	HHE	--	100.0000000	2019/04/09,21:00:00	2019/12/30,19:29:00	38.94596	-120.96897	505.0	0.0	0.0	90.0
AFD	NC	HHE	--	100.0000000	2019/12/30,19:29:00	3000/01/01,00:00:00	38.94596	-120.96897	505.0	0.0	0.0	90.0
AFD	NC	HHN	--	100.0000000	2008/06/05,16:29:00	2010/08/11,19:30:00	38.94596	-120.96897	505.0	0.0	0.0	270.0
AFD	NC	HHN	--	100.0000000	2010/08/11,19:30:00	2019/04/09,21:00:00	38.94596	-120.96897	505.0	0.0	0.0	0.0
AFD	NC	HHN	--	100.0000000	2019/04/09,21:00:00	2019/12/30,19:29:00	38.94596	-120.96897	505.0	0.0	0.0	0.0
AFD	NC	HHN	--	100.0000000	2019/12/30,19:29:00	3000/01/01,00:00:00	38.94596	-120.96897	505.0	0.0	0.0	0.0
AFD	NC	HHZ	--	100.0000000	2008/06/05,16:29:00	2019/04/09,21:00:00	38.94596	-120.96897	505.0	0.0	-90.0	0.0
AFD	NC	HHZ	--	100.0000000	2019/04/09,21:00:00	2019/12/30,19:29:00	38.94596	-120.96897	505.0	0.0	-90.0	0.0
AFD	NC	HHZ	--	100.0000000	2019/12/30,19:29:00	3000/01/01,00:00:00	38.94596	-120.96897	505.0	0.0	-90.0	0.0
AFD	NC	HNE	--	100.0000000	2008/06/05,16:29:00	2019/04/09,21:00:00	38.94596	-120.96897	505.0	0.0	0.0	90.0
AFD	NC	HNE	--	100.0000000	2019/04/09,21:00:00	3000/01/01,00:00:00	38.94596	-120.96897	505.0	0.0	0.0	90.0
AFD	NC	HNN	--	100.0000000	2008/06/05,16:29:00	2019/04/09,21:00:00	38.94596	-120.96897	505.0	0.0	0.0	0.0
AFD	NC	HNN	--	100.0000000	2019/04/09,21:00:00	3000/01/01,00:00:00	38.94596	-120.96897	505.0	0.0	0.0	0.0
AFD	NC	HNZ	--	100.0000000	2008/06/05,16:29:00	2019/04/09,21:00:00	38.94596	-120.96897	505.0	0.0	-90.0	0.0
AFD	NC	HNZ	--	100.0000000	2019/04/09,21:00:00	3000/01/01,00:00:00	38.94596	-120.96897	505.0	0.0	-90.0	0.0
AFD	NC	LHE	--	1.0000000	2019/04/09,21:00:00	2019/12/30,19:29:00	38.94596	-120.96897	505.0	0.0	0.0	90.0
AFD	NC	LHE	--	1.0000000	2019/12/30,19:29:00	3000/01/01,00:00:00	38.94596	-120.96897	505.0	0.0	0.0	90.0
AFD	NC	LHN	--	1.0000000	2019/04/09,21:00:00	2019/12/30,19:29:00	38.94596	-120.96897	505.0	0.0	0.0	0.0
AFD	NC	LHN	--	1.0000000	2019/12/30,19:29:00	3000/01/01,00:00:00	38.94596	-120.96897	505.0	0.0	0.0	0.0
AFD	NC	LHZ	--	1.0000000	2019/04/09,21:00:00	2019/12/30,19:29:00	38.94596	-120.96897	505.0	0.0	-90.0	0.0
AFD	NC	LHZ	--	1.0000000	2019/12/30,19:29:00	3000/01/01,00:00:00	38.94596	-120.96897	505.0	0.0	-90.0	0.0
AFD	NC	SHZ	--	20.0000000	1994/11/28,00:00:00	2006/01/24,18:00:00	38.94596	-120.96897	505.0	0.0	-90.0	0.0
AFH	NC	EHZ	--	100.0000000	1984/01/01,00:00:00	1987/05/01,00:00:00	39.03995	-120.79501	1039.0	0.0	-90.0	0.0
AFH	NC	EHZ	--	100.0000000	1987/05/01,00:00:00	2006/01/04,19:27:00	39.03995	-120.79501	1039.0	0.0	-90.0	0.0
AFH	NC	SHZ	--	20.0000000	1994/11/28,00:00:00	2006/01/04,19:27:00	39.03995	-120.79501	1039.0	0.0	-90.0	0.0
AFO	NC	EHZ	--	100.0000000	1984/01/01,00:00:00	1984/04/23,00:00:00	38.94483	-120.96833	524.0	0.0	-90.0	0.0
AFR	NC	EHZ	--	100.0000000	1984/01/01,00:00:00	1987/05/01,00:00:00	38.79221	-121.34927	10.0	0.0	-90.0	0.0
AFR	NC	EHZ	--	100.0000000	1987/05/01,00:00:00	1988/05/19,21:30:00	38.79221	-121.34927	10.0	0.0	-90.0	0.0
AFR	NC	EHZ	--	100.0000000	1988/05/19,21:30:00	1988/06/09,22:42:00	38.79221	-121.34927	10.0	0.0	-90.0	0.0
AFR	NC	EHZ	--	100.0000000	1988/06/09,22:42:00	1996/05/14,19:00:00	38.79221	-121.34927	10.0	0.0	-90.0	0.0
AFR	NC	SHZ	--	20.0000000	1994/11/28,00:00:00	1996/05/14,19:00:00	38.79221	-121.34927	10.0	0.0	-90.0	0.0
AGI	NC	EHZ	--	100.0000000	1984/01/01,00:00:00	1985/12/06,23:59:00	38.84467	-120.98133	305.0	0.0	-90.0	0.0
AHR	NC	EHZ	--	100.0000000	1984/01/01,00:00:00	1985/05/16,19:50:00	38.85484	-121.07204	349.0	0.0	-90.0	0.0
AHR	NC	EHZ	--	100.0000000	1985/05/16,19:50:00	1987/05/01,00:00:00	38.85484	-121.07204	349.0	0.0	-90.0	0.0
AHR	NC	EHZ	--	100.0000000	1987/05/01,00:00:00	2004/08/04,20:00:00	38.85484	-121.07204	349.0	0.0	-90.0	0.0
AHR	NC	EHZ	--	100.0000000	2004/08/04,20:00:00	2005/05/04,16:33:00	38.85484	-121.07204	349.0	0.0	-90.0	0.0
AHR	NC	SHZ	--	20.0000000	1994/11/28,00:00:00	2004/08/04,20:00:00	38.85484	-121.07204	349.0	0.0	-90.0	0.0
AHR	NC	SHZ	--	20.0000000	2004/08/04,20:00:00	2005/05/04,16:33:00	38.85484	-121.07204	349.0	0.0	-90.0	0.0
ALA	NC	EHZ	--	100.0000000	1984/01/01,00:00:00	1986/10/14,22:20:00	38.56710	-120.95693	263.0	0.0	-90.0	0.0
ALA	NC	EHZ	--	100.0000000	1986/10/14,22:20:00	1987/05/01,00:00:00	38.56710	-120.95693	263.0	0.0	-90.0	0.0
ALA	NC	EHZ	--	100.0000000	1987/05/01,00:00:00	2006/04/20,17:20:00	38.56710	-120.95693	263.0	0.0	-90.0	0.0
ALA	NC	SHZ	--	20.0000000	1994/11/28,00:00:00	2006/04/20,17:20:00	38.56710	-120.95693	263.0	0.0	-90.0	0.0
ALN	NC	EHZ	--	100.0000000	1984/01/01,00:00:00	1987/05/01,00:00:00	38.92913	-121.28704	27.0	0.0	-90.0	0.0
ALN	NC	EHZ	--	100.0000000	1987/05/01,00:00:00	2005/05/25,21:10:00	38.92913	-121.28704	27.0	0.0	-90.0	0.0
ALN	NC	SHZ	--	20.0000000	1994/11/28,00:00:00	2005/05/25,21:10:00	38.92913	-121.28704	27.0	0.0	-90.0	0.0
AOD	NC	EHZ	--	100.0000000	1984/01/01,00:00:00	1987/05/01,00:00:00	38.61472	-120.73023	504.0	0.0	-90.0	0.0
AOD	NC	EHZ	--	100.0000000	1987/05/01,00:00:00	2006/04/20,18:00:00	38.61472	-120.73023	504.0	0.0	-90.0	0.0
AOD	NC	SHZ	--	20.0000000	1994/11/28,00:00:00	2006/04/20,18:00:00	38.61472	-120.73023	504.0	0.0	-90.0	0.0
AOH	NC	EHZ	--	100.0000000	1984/01/01,00:00:00	1984/02/22,20:25:00	39.37627	-121.25767	410.0	0.0	-90.0	0.0
AOH	NC	EHZ	--	100.0000000	1984/02/22,20:25:00	1984/03/21,22:10:00	39.37627	-121.25767	410.0	0.0	-90.0	0.0
AOH	NC	EHZ	--	100.0000000	1984/03/21,22:10:00	1985/07/15,18:00:00	39.37627	-121.25767	410.0	0.0	-90.0	0.0
AOH	NC	EHZ	--	100.0000000	1985/07/15,18:00:00	1986/07/18,18:00:00	39.37627	-121.25767	410.0	0.0	-90.0	0.0
AOH	NC	EHZ	--	100.0000000	1986/07/18,18:00:00	1987/05/01,00:00:00	39.37627	-121.25767	410.0	0.0	-90.0	0.0
AOH	NC	EHZ	--	100.0000000	1987/05/01,00:00:00	2019/06/20,18:43:00	39.37627	-121.25767	410.0	0.0	-90.0	0.0
AOH	NC	SHZ	--	20.0000000	1994/11/28,00:00:00	2006/01/24,18:00:00	39.37627	-121.25767	410.0	0.0	-90.0	0.0
APG	NC	EHZ	--	100.0000000	1996/07/10,17:40:00	2004/08/05,19:00:00	38.79265	-121.35859	2.0	0.0	-90.0	0.0
APG	NC	SHZ	--	20.0000000	1996/07/10,17:40:00	2004/08/05,19:00:00	38.79265	-121.35859	2.0	0.0	-90.0	0.0
APR	NC	EHZ	--	100.0000000	1984/01/01,00:00:00	1985/04/03,19:35:00	38.87703	-121.21823	113.0	0.0	-90.0	0.0
APR	NC	EHZ	--	100.0000000	1985/04/03,19:35:00	1987/05/01,00:00:00	38.87703	-121.21823	113.0	0.0	-90.0	0.0
APR	NC	EHZ	--	100.0000000	1987/05/01,00:00:00	2006/01/04,19:19:00	38.87703	-121.21823	113.0	0.0	-90.0	0.0
APR	NC	SHZ	--	20.0000000	1994/11/28,00:00:00	2006/01/04,19:19:00	38.87703	-121.21823	113.0	0.0	-90.0	0.0
ARJ	NC	EHZ	--	100.0000000	1984/01/01,00:00:00	1987/05/01,00:00:00	38.68626	-120.95760	437.0	0.0	-90.0	0.0
ARJ	NC	EHZ	--	100.0000000	1987/05/01,00:00:00	2006/04/20,22:15:00	38.68626	-120.95760	437.0	0.0	-90.0	0.0
ARJ	NC	SHZ	--	20.0000000	1994/11/28,00:00:00	2006/04/20,22:15:00	38.68626	-120.95760	437.0	0.0	-90.0	0.0
ARR	NC	EHZ	--	100.0000000	1984/01/01,00:00:00	1984/10/01,17:45:00	38.76499	-121.17245	100.0	0.0	-90.0	0.0
ARR	NC	EHZ	--	100.0000000	1984/10/01,17:45:00	1987/05/01,00:00:00	38.76499	-121.17245	100.0	0.0	-90.0	0.0
ARR	NC	EHZ	--	100.0000000	1987/05/01,00:00:00	1988/06/02,21:40:00	38.76499	-121.17245	100.0	0.0	-90.0	0.0
ARR	NC	EHZ	--	100.0000000	1988/06/02,21:40:00	2007/05/22,20:40:00	38.76499	-121.17245	100.0	0.0	-90.0	0.0
ARR	NC	SHZ	--	20.0000000	1994/11/28,00:00:00	2006/01/24,18:00:00	38.76499	-121.17245	100.0	0.0	-90.0	0.0
ARW	NC	EHZ	--	100.0000000	1984/01/01,00:00:00	1984/12/06,19:20:00	38.95633	-121.16217	320.0	0.0	-90.0	0.0
ASM	NC	EHZ	--	100.0000000	1984/12/03,19:20:00	1985/01/08,22:15:00	38.82379	-120.68500	1160.0	0.0	-90.0	0.0
ASM	NC	EHZ	--	100.0000000	1985/01/08,22:15:00	1987/05/01,00:00:00	38.82379	-120.68500	1160.0	0.0	-90.0	0.0
ASM	NC	EHZ	--	100.0000000	1987/05/01,00:00:00	2003/01/30,18:15:00	38.82379	-120.68500	1160.0	0.0	-90.0	0.0
ASM	NC	SHZ	--	20.0000000	1994/11/28,00:00:00	2003/01/30,18:15:00	38.82379	-120.68500	1160.0	0.0	-90.0	0.0
ASMB	NC	EHZ	--	100.0000000	2010/06/22,23:49:00	3000/01/01,00:00:00	38.82365	-120.68499	1182.0	0.0	-90.0	0.0
AVR	NC	EHZ	--	100.0000000	1984/01/01,00:00:00	1987/05/01,00:00:00	39.02431	-121.27188	95.0	0.0	-90.0	0.0
AVR	NC	EHZ	--	100.0000000	1987/05/01,00:00:00	2007/05/22,20:40:00	39.02431	-121.27188	95.0	0.0	-90.0	0.0
AVR	NC	SHZ	--	20.0000000	1994/11/28,00:00:00	2006/01/24,18:00:00	39.02431	-121.27188	95.0	0.0	-90.0	0.0
BAP	NC	EHZ	--	100.0000000	1985/06/27,17:27:00	1987/05/01,00:00:00	36.18042	-121.64440	1193.0	0.0	-90.0	0.0
BAP	NC	EHZ	--	100.0000000	1987/05/01,00:00:00	1991/12/17,20:00:00	36.18042	-121.64440	1193.0	0.0	-90.0	0.0
BAP	NC	EHZ	--	100.0000000	1991/12/17,20:00:00	1994/03/01,23:00:00	36.18042	-121.64440	1193.0	0.0	-90.0	0.0
BAP	NC	EHZ	--	100.0000000	1994/03/01,23:00:00	2004/01/23,01:00:00	36.18042	-121.64440	1193.0	0.0	-90.0	0.0
BAP	NC	EHZ	--	100.0000000	2011/07/08,17:04:00	3000/01/01,00:00:00	36.18042	-121.64440	1193.0	0.0	-90.0	0.0
BAP	NC	SHZ	--	20.0000000	1994/11/28,00:00:00	2004/01/22,22:00:00	36.18042	-121.64440	1193.0	0.0	-90.0	0.0
BAP	NC	SHZ	--	50.0000000	2004/01/22,22:00:00	2011/07/08,17:04:00	36.18042	-121.64440	1193.0	0.0	-90.0	0.0
BAV	NC	EHZ	--	100.0000000	1984/01/01,00:00:00	1987/05/01,00:00:00	36.64595	-121.03015	572.0	0.0	-90.0	0.0
BAV	NC	EHZ	--	100.0000000	1987/05/01,00:00:00	1990/03/23,21:35:00	36.64595	-121.03015	572.0	0.0	-90.0	0.0
BAV	NC	EHZ	--	100.0000000	1990/03/23,21:35:00	1999/12/15,23:00:00	36.64595	-121.03015	572.0	0.0	-90.0	0.0
BAV	NC	EHZ	--	100.0000000	1999/12/15,23:00:00	2004/01/16,01:06:00	36.64595	-121.03015	572.0	0.0	-90.0	0.0
