Stat	Net	Cha	Lo	Rate	Start time	End time	Lat	Lon	Elev	Depth	Dip	Azimuth
B001	PB	BS1	T0	20.0000000	2005/06/21,00:00:00	3000/01/01,00:00:00	48.04307	-123.13141	237.0	152.9	0.0	200.2
B001	PB	BS2	T0	20.0000000	2005/06/21,00:00:00	3000/01/01,00:00:00	48.04307	-123.13141	237.0	152.9	0.0	140.2
B001	PB	BS3	T0	20.0000000	2005/06/21,00:00:00	3000/01/01,00:00:00	48.04307	-123.13141	237.0	152.9	0.0	80.2
B001	PB	BS4	T0	20.0000000	2005/06/21,00:00:00	3000/01/01,00:00:00	48.04307	-123.13141	237.0	152.9	0.0	50.2
B001	PB	EH1	--	100.0000000	2005/06/30,00:00:00	3000/01/01,00:00:00	48.04307	-123.13141	237.0	144.4	0.0	335.5
B001	PB	EH2	--	100.0000000	2005/06/30,00:00:00	3000/01/01,00:00:00	48.04307	-123.13141	237.0	144.4	0.0	65.5
B001	PB	EHZ	--	100.0000000	2005/06/30,00:00:00	3000/01/01,00:00:00	48.04307	-123.13141	237.0	144.4	-90.0	0.0
B001	PB	LCC	--	1.0000000	2005/06/30,00:00:00	3000/01/01,00:00:00	48.04307	-123.13141	237.0	144.4	0.0	0.0
B001	PB	LCE	--	1.0000000	2005/06/30,00:00:00	3000/01/01,00:00:00	48.04307	-123.13141	237.0	144.4	0.0	0.0
B001	PB	LCL	--	1.0000000	2005/06/30,00:00:00	3000/01/01,00:00:00	48.04307	-123.13141	237.0	144.4	0.0	0.0
B001	PB	LCQ	--	1.0000000	2005/06/30,00:00:00	3000/01/01,00:00:00	48.04307	-123.13141	237.0	144.4	0.0	0.0
B001	PB	LDD	--	1.0000000	2005/06/21,00:00:00	3000/01/01,00:00:00	48.04307	-123.13141	237.0	20.6	0.0	0.0
B001	PB	LDO	--	1.0000000	2005/06/21,00:00:00	3000/01/01,00:00:00	48.04307	-123.13141	237.0	0.0	0.0	0.0
B001	PB	LH1	--	1.0000000	2005/06/30,00:00:00	3000/01/01,00:00:00	48.04307	-123.13141	335.5	144.4	0.0	335.5
B001	PB	LH2	--	1.0000000	2005/06/30,00:00:00	3000/01/01,00:00:00	48.04307	-123.13141	237.0	144.4	0.0	65.5
B001	PB	LHZ	--	1.0000000	2005/06/30,00:00:00	3000/01/01,00:00:00	48.04307	-123.13141	237.0	144.4	-90.0	0.0
B001	PB	LKD	--	1.0000000	2005/06/21,00:00:00	3000/01/01,00:00:00	48.04307	-123.13141	237.0	20.6	0.0	0.0
B001	PB	LPL	--	1.0000000	2005/06/30,00:00:00	3000/01/01,00:00:00	48.04307	-123.13141	237.0	144.4	0.0	0.0
B001	PB	LS1	T0	1.0000000	2005/06/21,00:00:00	3000/01/01,00:00:00	48.04307	-123.13141	237.0	152.9	0.0	200.2
B001	PB	LS2	T0	1.0000000	2005/06/21,00:00:00	3000/01/01,00:00:00	48.04307	-123.13141	237.0	152.9	0.0	140.2
B001	PB	LS3	T0	1.0000000	2005/06/21,00:00:00	3000/01/01,00:00:00	48.04307	-123.13141	237.0	152.9	0.0	80.2
B001	PB	LS4	T0	1.0000000	2005/06/21,00:00:00	3000/01/01,00:00:00	48.04307	-123.13141	237.0	152.9	0.0	50.2
B001	PB	QBD	--	0.0500000	2005/06/30,00:00:00	3000/01/01,00:00:00	48.04307	-123.13141	237.0	144.4	0.0	0.0
B001	PB	QBP	--	0.0500000	2005/06/30,00:00:00	3000/01/01,00:00:00	48.04307	-123.13141	237.0	144.4	0.0	0.0
B001	PB	QDL	--	0.0500000	2005/06/30,00:00:00	3000/01/01,00:00:00	48.04307	-123.13141	237.0	144.4	0.0	0.0
B001	PB	QDR	--	0.0500000	2005/06/30,00:00:00	3000/01/01,00:00:00	48.04307	-123.13141	237.0	144.4	0.0	0.0
B001	PB	QG1	--	0.0500000	2005/06/30,00:00:00	3000/01/01,00:00:00	48.04307	-123.13141	237.0	144.4	0.0	0.0
