   station1 station2   t_PP
0       KBN     KHBB   1.95
1       KBN      LRB  -7.15
2       KBN     ME08   1.80
3       KBN     ME12  -5.30
4       KBN     ME28  -6.20
5       KBN     ME37   4.60
6       KBN     ME39   5.75
7       KBN     ME41   2.40
8       KBN     ME57  -4.50
9       KBN      WDC  -4.00
10     KHBB      LRB -10.50
11     KHBB     ME08  -1.75
12     KHBB     ME12  -8.35
13     KHBB     ME28  -9.50
14     KHBB     ME37   4.05
15     KHBB     ME39   0.95
16     KHBB     ME41   1.35
17     KHBB     ME57  -7.80
18     KHBB      WDC  -5.05
19      LRB     ME08   7.80
20      LRB     ME12   3.30
21      LRB     ME28   1.00
22      LRB     ME37  13.15
23      LRB     ME39  12.45
24      LRB     ME41  10.95
25      LRB     ME57   2.25
26      LRB      WDC   3.20
27     ME08     ME12  -8.60
28     ME08     ME28  -6.85
29     ME08     ME37   5.30
30     ME08     ME39   4.60
31     ME08     ME41   3.60
32     ME08     ME57  -5.10
33     ME08      WDC  -3.30
34     ME12     ME28  -2.30
35     ME12     ME37  10.40
36     ME12     ME39   9.25
37     ME12     ME41  10.65
38     ME12     ME57  -0.55
39     ME12      WDC   0.85
40     ME28     ME37  13.10
41     ME28     ME39  12.00
42     ME28     ME41  10.45
43     ME28     ME57   1.75
44     ME28      WDC   2.25
45     ME37     ME39  -1.70
46     ME37     ME41  -2.20
47     ME37     ME57 -11.90
48     ME37      WDC -10.50
49     ME39     ME41  -1.50
50     ME39     ME57 -10.20
51     ME39      WDC  -9.30
52     ME41     ME57  -8.70
53     ME41      WDC  -6.40
54     ME57      WDC   0.90
